file_name,text
Data/Recording (1).wav,"cara melakukan Pengajuan Online?"
Data/Recording (2).wav,"Berapa lama pengajuan online ini selesai?"
Data/Recording (3).wav,"saya mengetahui sukses atau tidaknya proses pengajuan?"
Data/Recording (4).wav,"harus dilakukan jika pengajuan saya gagal?"
Data/Recording (5).wav,"cara untuk membatalkan pengajuan?"
Data/Recording (6).wav,"NIK ataupun Nomor KK saya tidak terdeteksi atau tidak sinkron saat mendaftar layanan seperti BPJS, Perbankan, Keimigrasian, Pra Kerja, Perpajakan,  Kepolisian, dll. Bagaimana solusinya?"
Data/Recording (7).wav,"NIK saya terindikasi duplikat karena melakukan perekaman KTP lebih dari satu kali, bagaimana cara mengeceknya?"
Data/Recording (8).wav,"tidak memiliki data kependudukan sama sekali, apa yang harus saya lakukan?"
Data/Recording (9).wav,"Saya sudah mengajukan KTP-el tapi belum selesai juga,kalau mau mengetahui hasil pencetakannya bagaimana?"
Data/Recording (10).wav,"Dari mana saya bisa melihat syarat dan prosedur untuk pengajuan dokumen kependudukan?"
Data/Recording (11).wav,"mana cara mencari tahu dan mengunduh formulir?"
Data/Recording (12).wav,"Saya sudah buat akta kelahiran, tapi nama orang tuanya salah. Itu bagaimana memperbaikinya?"
Data/Recording (13).wav,"Anak kami lahir di Kota Bandung, tapi Kartu Keluarga kami tercatat sebagai warga Kota lain. Dimanakah kami bisa membuat Akta Kelahiran anak kami?"
Data/Recording (14).wav,"Kenapa dokumen yang kami terima saat ini blangkonya berbeda, hanya kertas putih saja?"
Data/Recording (15).wav,"Kartu Keluarga saya masih belum ber-barcode apakah saya wajib buat KK yang ber-barcode?"
Data/Recording (16).wav,"Untuk formulir akta kelahiran apakah masih perlu tanda tangan dan cap kelurahan?"
Data/Recording (17).wav,"Apakah dalam  satu rumah boleh lebih dari satu KK?"
Data/Recording (18).wav,"Apakah latar belakang foto untuk KIA ditentukan berdasarkan   jenis kelamin dan tahun lahir?"
Data/Recording (19).wav,"NIK saya tidak sesuai"
